mmr_temp,fish_id,temp,bw,mean_rmr_unscaled,mean_rmr_bw,n_rmr,mean_rmr_72,treatment
19,A01,19,0.006,0.0220272,3.6712,3,2.46188177,ambient
19,A01,20,0.006,0.0272909,4.548483333,16,3.050182011,ambient
19,A01,21,0.006,0.022625778,3.770962963,9,2.528782135,ambient
19,A01,22,0.006,0.019729745,3.288290909,11,2.205105536,ambient
19,A01,23,0.006,0.02248064,3.746773333,15,2.512560733,ambient
19,A01,24,0.006,0.033273067,5.545511111,45,3.718782062,ambient
19,A02,19,0.0073,0.031517311,4.317439863,3,3.058676141,ambient
19,A02,20,0.0073,0.038219263,5.235515471,16,3.709083801,ambient
19,A02,21,0.0073,0.026115229,3.577428643,11,2.534417614,ambient
19,A02,22,0.0073,0.025697689,3.520231382,11,2.493896402,ambient
19,A02,23,0.0073,0.029187438,3.998279151,15,2.832567779,ambient
19,A02,24,0.0073,0.042188863,5.779296365,47,4.094323596,ambient
19,A03,19,0.0092,0.033394655,3.629853841,3,2.743636219,ambient
19,A03,20,0.0092,0.045103063,4.902506821,16,3.705574898,ambient
19,A03,21,0.0092,0.026180901,2.845750059,11,2.150968958,ambient
19,A03,22,0.0092,0.024772309,2.692642253,11,2.03524195,ambient
19,A03,23,0.0092,0.02977719,3.236651072,15,2.446432694,ambient
19,A03,24,0.0092,0.038901755,4.228451602,46,3.196088183,ambient
19,A05,19,0.029,0.093264405,3.216013966,4,3.352479748,ambient
19,A05,20,0.029,0.106526834,3.673339095,16,3.829210648,ambient
19,A05,21,0.029,0.09058377,3.123578276,10,3.256121716,ambient
19,A05,22,0.029,0.098074742,3.381887644,12,3.525391978,ambient
19,A05,23,0.029,0.128461814,4.429717724,20,4.617684848,ambient
19,A05,24,0.029,0.135972806,4.688717455,42,4.887674767,ambient
19,A06,19,0.0153,0.047758133,3.121446569,4,2.720484798,ambient
19,A06,20,0.0153,0.053906234,3.523283281,15,3.070704046,ambient
19,A06,21,0.0153,0.047067437,3.076303084,11,2.681140167,ambient
19,A06,22,0.0153,0.04808978,3.143122852,11,2.73937668,ambient
19,A06,23,0.0153,0.052253321,3.415249755,20,2.97654784,ambient
19,A06,24,0.0153,0.056937114,3.72138,41,3.243354482,ambient
19,A07,19,0.0122,0.040921813,3.354246967,4,2.743800848,ambient
19,A07,20,0.0122,0.060169489,4.931925287,16,4.034354332,ambient
19,A07,21,0.0122,0.038336774,3.142358539,11,2.570474419,ambient
19,A07,22,0.0122,0.041396597,3.393163666,11,2.775635019,ambient
19,A07,23,0.0122,0.048687094,3.990745436,19,3.264461686,ambient
19,A07,24,0.0122,0.048794053,3.999512553,42,3.271633258,ambient
19,A08,19,0.0372,0.092218151,2.478982554,4,2.770781575,ambient
19,A08,20,0.0372,0.099579325,2.676863588,15,2.991955025,ambient
19,A08,21,0.0372,0.087386162,2.349090376,11,2.625599895,ambient
19,A08,22,0.0372,0.093950057,2.525539159,11,2.822818321,ambient
19,A08,23,0.0372,0.118585833,3.187791204,20,3.563023516,ambient
19,A08,24,0.0372,0.144896162,3.895058116,42,4.353542241,ambient
19,A09,19,0.0442,0.091821415,2.077407589,11,2.436782387,ambient
19,A09,20,0.0442,0.105821386,2.394149015,13,2.80831753,ambient
19,A09,21,0.0442,0.106613168,2.412062614,9,2.829330038,ambient
19,A09,22,0.0442,0.117386013,2.655792159,14,3.115222833,ambient
19,A09,23,0.0442,0.136202372,3.081501627,39,3.614576613,ambient
19,A09,24,0.0442,0.158229509,3.579853155,18,4.199138946,ambient
19,A10,19,0.0239,0.077445032,3.240377908,10,3.199807651,ambient
19,A10,20,0.0239,0.103676567,4.337931693,13,4.283619816,ambient
19,A10,21,0.0239,0.087261892,3.651125172,10,3.605412266,ambient
19,A10,22,0.0239,0.09312482,3.896435992,14,3.847651741,ambient
19,A10,23,0.0239,0.115691217,4.840636704,39,4.780030848,ambient
19,A10,24,0.0239,0.129605986,5.422844591,18,5.354949362,ambient
19,A11,20,0.0072,0.037235006,5.171528657,6,3.649629952,ambient
19,A11,22,0.0072,0.02352622,3.267530491,13,2.305948191,ambient
19,A11,23,0.0072,0.030284271,4.206148745,27,2.968346008,ambient
19,A11,24,0.0072,0.040693958,5.651938611,6,3.988662891,ambient
22,I01,21,0.0484,0.139799736,2.888424298,13,3.47531751,intermediate
22,I01,22,0.0484,0.144139824,2.978095537,12,3.583208871,intermediate
22,I01,23,0.0484,0.171639537,3.546271416,31,4.266831281,intermediate
22,I01,24,0.0484,0.17592363,3.634785754,37,4.373330672,intermediate
22,I02,21,0.0167,0.056230805,3.367114044,13,3.007427978,intermediate
22,I02,22,0.0167,0.066055302,3.955407285,12,3.532877824,intermediate
22,I02,23,0.0167,0.072061365,4.315051808,31,3.854103949,intermediate
22,I02,24,0.0167,0.083488681,4.999322229,37,4.46527838,intermediate
22,I03,21,0.0264,0.115975238,4.393001445,13,4.460537997,intermediate
22,I03,22,0.0264,0.107702097,4.079624874,12,4.142343678,intermediate
22,I03,23,0.0264,0.113351846,4.293630545,31,4.359639401,intermediate
22,I03,24,0.0264,0.13074041,4.952288241,37,5.028423083,intermediate
22,I04,21,0.0192,0.104211588,5.427686875,11,5.040991054,intermediate
22,I04,22,0.0192,0.115812006,6.031875304,12,5.602134048,intermediate
22,I04,23,0.0192,0.120148714,6.257745542,30,5.81191215,intermediate
22,I04,24,0.0192,0.122064638,6.357533212,37,5.904590443,intermediate
22,I05,21,0.0244,0.094527031,3.874058656,15,3.847796904,intermediate
22,I05,22,0.0244,0.089187644,3.655231311,3,3.630452963,intermediate
22,I05,23,0.0244,0.096165566,3.941211721,21,3.914494748,intermediate
22,I05,24,0.0244,0.108529809,4.447942984,15,4.417790943,intermediate
22,I06,21,0.0125,0.071688461,5.735076892,13,4.723357812,intermediate
22,I06,22,0.0125,0.078649478,6.2919582,4,5.182000255,intermediate
22,I06,23,0.0125,0.077009553,6.160764229,21,5.073950078,intermediate
22,I06,24,0.0125,0.085014965,6.801197175,16,5.6014049,intermediate
22,I07,21,0.0085,0.04164505,4.899417605,14,3.622084311,intermediate
22,I07,22,0.0085,0.042621979,5.014350441,4,3.707052864,intermediate
22,I07,23,0.0085,0.049311944,5.801405126,21,4.288913537,intermediate
22,I07,24,0.0085,0.055092728,6.481497463,16,4.79169815,intermediate
22,I08,21,0.0082,0.047509123,5.79379547,14,4.240409864,intermediate
22,I08,22,0.0082,0.054236052,6.614152683,4,4.840819533,intermediate
22,I08,23,0.0082,0.052047379,6.347241335,19,4.645470298,intermediate
22,I08,24,0.0082,0.065025,7.929878049,16,5.803783249,intermediate
22,I09,21,0.0064,0.031867379,4.979277917,15,3.399958039,intermediate
22,I09,22,0.0064,0.033249515,5.195236779,13,3.547419395,intermediate
22,I09,23,0.0064,0.034760765,5.431369542,45,3.708655923,intermediate
22,I09,24,0.0064,0.038395141,5.999240729,6,4.096410582,intermediate
22,I10,21,0.0091,0.033252698,3.654142689,15,2.753555848,intermediate
22,I10,22,0.0091,0.037249091,4.093306653,13,3.084485044,intermediate
22,I10,23,0.0091,0.042093567,4.625666725,50,3.485641571,intermediate
22,I10,24,0.0091,0.044031102,4.838582637,10,3.646082994,intermediate
22,I11,21,0.009,0.040483784,4.498198222,15,3.379117471,intermediate
22,I11,22,0.009,0.0481404,5.348933333,13,4.018203109,intermediate
22,I11,23,0.009,0.052823109,5.869234298,53,4.409061402,intermediate
22,I11,24,0.009,0.061427984,6.825331556,10,5.127296746,intermediate
26,H01,23,0.0199,0.100770928,5.063865746,20,4.750483807,warm
26,H01,24,0.0199,0.10433864,5.243147754,35,4.918670785,warm
26,H01,25,0.0199,0.125543615,6.308724368,28,5.918303221,warm
26,H01,26,0.0199,0.126094083,6.33638608,21,5.944253063,warm
26,H01,27,0.0199,0.126548625,6.359227387,6,5.965680814,warm
26,H02,23,0.0138,0.050629352,3.668793652,20,3.106463304,warm
26,H02,24,0.0138,0.051880154,3.75943142,35,3.183208667,warm
26,H02,25,0.0138,0.059552051,4.315366046,28,3.653933018,warm
26,H02,26,0.0138,0.061200164,4.434794465,21,3.755056177,warm
26,H02,27,0.0138,0.066917517,4.849095459,6,4.105855638,warm
26,H03,23,0.0115,0.058283224,5.068106413,20,4.077724851,warm
26,H03,24,0.0115,0.058777817,5.111114534,35,4.112328561,warm
26,H03,25,0.0115,0.066761946,5.805386646,28,4.670929824,warm
26,H03,26,0.0115,0.063753529,5.543785093,21,4.460449012,warm
26,H03,27,0.0115,0.069270775,6.023545652,6,4.846457393,warm
26,H04,23,0.0133,0.056172924,4.223528132,20,3.539408164,warm
26,H04,24,0.0133,0.058942441,4.431762451,35,3.713913039,warm
26,H04,25,0.0133,0.069023307,5.189722331,28,4.349099855,warm
26,H04,26,0.0133,0.070743132,5.319032481,21,4.457464565,warm
26,H04,27,0.0133,0.085429939,6.423303684,6,5.38286778,warm
26,H05,23,0.0119,0.049566912,4.165286693,23,3.383567507,warm
26,H05,24,0.0119,0.054213624,4.555766753,33,3.700764315,warm
26,H05,25,0.0119,0.056555332,4.752548887,25,3.860615409,warm
26,H05,26,0.0119,0.066939966,5.625207198,23,4.569497779,warm
26,H05,27,0.0119,0.068964497,5.79533591,6,4.707697626,warm
26,H06,23,0.0079,0.041151497,5.209050253,23,3.772862087,warm
26,H06,24,0.0079,0.043985102,5.567734484,33,4.032653426,warm
26,H06,25,0.0079,0.043862339,5.552194759,25,4.021398161,warm
26,H06,26,0.0079,0.048884579,6.187921392,23,4.481848492,warm
26,H06,27,0.0079,0.060681172,7.681161034,6,5.563386768,warm
26,H07,23,0.0089,0.0351916,3.95411236,23,2.961113167,warm
26,H07,24,0.0089,0.037768524,4.24365443,33,3.177942321,warm
26,H07,25,0.0089,0.03887656,4.368152764,25,3.271175295,warm
26,H07,26,0.0089,0.043456184,4.882717303,23,3.656516857,warm
26,H07,27,0.0089,0.045442212,5.105866479,6,3.823626414,warm
26,H08,23,0.01,0.047873947,4.787394652,23,3.70404307,warm
26,H08,24,0.01,0.047670171,4.767017063,32,3.688276776,warm
26,H08,25,0.01,0.046510556,4.65105564,25,3.598556556,warm
26,H08,26,0.01,0.054208569,5.420856913,23,4.194157561,warm
26,H08,27,0.01,0.05672205,5.672205,6,4.388627457,warm
26,H09,23,0.0094,0.048898679,5.201987137,24,3.955686549,warm
26,H09,24,0.0094,0.052490793,5.584126937,33,4.246272671,warm
26,H09,25,0.0094,0.062352789,6.633275454,30,5.04406447,warm
26,H09,26,0.0094,0.063942819,6.802427543,20,5.172690824,warm
26,H09,27,0.0094,0.058841114,6.259692979,3,4.759985495,warm
26,H10,23,0.0075,0.035742085,4.765611391,23,3.401829763,warm
26,H10,24,0.0075,0.046865213,6.248695063,32,4.460497321,warm
26,H10,25,0.0075,0.048010312,6.401374867,30,4.569484534,warm
26,H10,26,0.0075,0.047774522,6.3699362,20,4.547042714,warm
26,H10,27,0.0075,0.044488025,5.931736667,3,4.234243349,warm
26,H11,23,0.0118,0.049127593,4.163355353,24,3.374016796,warm
26,H11,24,0.0118,0.057373639,4.862172768,33,3.940344072,warm
26,H11,25,0.0118,0.055715805,4.721678407,30,3.826486307,warm
26,H11,26,0.0118,0.065256026,5.530171695,20,4.481695796,warm
26,H11,27,0.0118,0.058419284,4.95078678,3,4.012157583,warm
